11:28:41.373 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
11:28:42.436 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of f8c3d028-b126-44f9-9ad9-0a6d82f7a157_config-0
11:28:42.477 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 26 ms to scan 1 urls, producing 3 keys and 6 values 
11:28:42.505 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 4 keys and 9 values 
11:28:42.518 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 3 keys and 10 values 
11:28:42.711 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 190 ms to scan 195 urls, producing 0 keys and 0 values 
11:28:42.724 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 1 keys and 5 values 
11:28:42.736 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 1 keys and 7 values 
11:28:42.747 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 2 keys and 8 values 
11:28:42.901 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 153 ms to scan 195 urls, producing 0 keys and 0 values 
11:28:42.902 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f8c3d028-b126-44f9-9ad9-0a6d82f7a157_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
11:28:42.902 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f8c3d028-b126-44f9-9ad9-0a6d82f7a157_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$328/1153933106
11:28:42.903 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f8c3d028-b126-44f9-9ad9-0a6d82f7a157_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$329/2144067911
11:28:42.903 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f8c3d028-b126-44f9-9ad9-0a6d82f7a157_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
11:28:42.904 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f8c3d028-b126-44f9-9ad9-0a6d82f7a157_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
11:28:42.910 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f8c3d028-b126-44f9-9ad9-0a6d82f7a157_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
11:28:45.931 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f8c3d028-b126-44f9-9ad9-0a6d82f7a157_config-0] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1660404525682_127.0.0.1_58877
11:28:45.932 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f8c3d028-b126-44f9-9ad9-0a6d82f7a157_config-0] Notify connected event to listeners.
11:28:45.932 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f8c3d028-b126-44f9-9ad9-0a6d82f7a157_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
11:28:45.933 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f8c3d028-b126-44f9-9ad9-0a6d82f7a157_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$338/1730182538
11:28:46.017 [main] INFO  c.r.g.RuoYiGenApplication - [logStartupProfileInfo,640] - The following 1 profile is active: "dev"
11:28:48.395 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - An older version [1.2.23] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
11:28:48.396 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - Loaded Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
11:28:48.396 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
11:28:48.396 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
11:28:48.403 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
11:28:48.426 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9202"]
11:28:48.427 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
11:28:48.427 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.65]
11:28:48.705 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
11:28:49.969 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
11:28:51.170 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of d6cf02c6-2f43-4a06-b3c7-6c0fa7cfbbc9
11:28:51.170 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d6cf02c6-2f43-4a06-b3c7-6c0fa7cfbbc9] RpcClient init label, labels = {module=naming, source=sdk}
11:28:51.172 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d6cf02c6-2f43-4a06-b3c7-6c0fa7cfbbc9] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
11:28:51.172 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d6cf02c6-2f43-4a06-b3c7-6c0fa7cfbbc9] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
11:28:51.172 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d6cf02c6-2f43-4a06-b3c7-6c0fa7cfbbc9] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
11:28:51.173 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d6cf02c6-2f43-4a06-b3c7-6c0fa7cfbbc9] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
11:28:51.296 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d6cf02c6-2f43-4a06-b3c7-6c0fa7cfbbc9] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1660404531179_127.0.0.1_58881
11:28:51.296 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d6cf02c6-2f43-4a06-b3c7-6c0fa7cfbbc9] Notify connected event to listeners.
11:28:51.296 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d6cf02c6-2f43-4a06-b3c7-6c0fa7cfbbc9] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
11:28:51.297 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d6cf02c6-2f43-4a06-b3c7-6c0fa7cfbbc9] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$338/1730182538
11:28:54.627 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9202"]
11:28:54.774 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, DEFAULT_GROUP ruoyi-gen 192.168.72.1:9202 register finished
11:28:55.184 [nacos-grpc-client-executor-6] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d6cf02c6-2f43-4a06-b3c7-6c0fa7cfbbc9] Receive server push request, request = NotifySubscriberRequest, requestId = 11
11:28:55.191 [nacos-grpc-client-executor-6] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d6cf02c6-2f43-4a06-b3c7-6c0fa7cfbbc9] Ack server push request, request = NotifySubscriberRequest, requestId = 11
11:28:57.290 [main] INFO  c.r.g.RuoYiGenApplication - [logStarted,61] - Started RuoYiGenApplication in 17.28 seconds (JVM running for 20.172)
11:28:57.310 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-gen, group=DEFAULT_GROUP
11:28:57.312 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-gen-dev.yml, group=DEFAULT_GROUP
11:28:57.312 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-gen.yml, group=DEFAULT_GROUP
